,R,L,cost
0,0.08,0.2,134393.81905128894
1,0.08,0.22,134649.19943797283
2,0.08,0.24,134942.24933875556
3,0.08,0.26,135263.7782330485
4,0.08,0.28,135607.87694877828
5,0.08,0.3,135970.34997315207
6,0.08,0.32,136348.09860620726
7,0.08,0.34,136738.79411398617
8,0.08,0.37,137345.39792088413
9,0.08,0.39,137761.66178932838
10,0.08,0.41,138186.31436017068
11,0.08,0.43,138618.6496039951
12,0.08,0.45,139058.04713786257
13,0.08,0.47,139504.0533879923
14,0.08,0.49,139956.35489281698
15,0.08,0.51,140414.65445251067
16,0.08,0.53,140878.59239823453
17,0.08,0.55,141347.89347661255
18,0.08,0.57,141822.55004109856
19,0.08,0.59,142302.26547287343
20,0.08,0.61,142786.86796805917
21,0.08,0.63,143276.41914869432
22,0.08,0.66,144019.39124632816
23,0.08,0.68,144520.48621404104
24,0.08,0.7,145026.01551818184
25,0.08,0.72,145535.94999591788
26,0.08,0.74,146050.24227889976
27,0.08,0.76,146568.72482470807
28,0.08,0.78,147091.4594325122
29,0.08,0.8,147618.32489787223
30,0.09,0.2,134529.62764530972
31,0.09,0.22,134733.4221938143
32,0.09,0.24,134992.54283769766
33,0.09,0.26,135290.40299510738
34,0.09,0.28,135617.63048756792
35,0.09,0.3,135968.00496767848
36,0.09,0.32,136337.12167543397
37,0.09,0.34,136721.70961681756
38,0.09,0.37,137322.52855929843
39,0.09,0.39,137736.59131208356
40,0.09,0.41,138160.00763873965
41,0.09,0.43,138591.8619560803
42,0.09,0.45,139031.42216553417
43,0.09,0.47,139478.2049325856
44,0.09,0.49,139931.696582186
45,0.09,0.51,140391.46259490956
46,0.09,0.53,140857.14281973883
47,0.09,0.55,141328.69509417747
48,0.09,0.57,141805.6154085066
49,0.09,0.59,142287.92692798734
50,0.09,0.61,142775.32986237862
51,0.09,0.63,143267.75389458175
52,0.09,0.66,144015.4381029806
53,0.09,0.68,144519.89359689827
54,0.09,0.7,145028.85265199718
55,0.09,0.72,145542.36748104927
56,0.09,0.74,146060.34768320987
57,0.09,0.76,146582.6543490185
58,0.09,0.78,147109.23791610246
59,0.09,0.8,147640.13350159358
60,0.1,0.2,134753.90510236207
61,0.1,0.22,134871.4754951975
62,0.1,0.24,135081.82954099445
63,0.1,0.26,135347.00686194882
64,0.1,0.28,135651.31460726706
65,0.1,0.3,135985.33832878515
66,0.1,0.32,136342.67592908134
67,0.1,0.34,136718.81939382234
68,0.1,0.37,137311.47849530305
69,0.1,0.39,137722.1740647733
70,0.1,0.41,138143.45227141422
71,0.1,0.43,138574.1101826005
72,0.1,0.45,139013.30900742882
73,0.1,0.47,139460.3469095904
74,0.1,0.49,139914.54072369813
75,0.1,0.51,140375.4660197697
76,0.1,0.53,140842.83417221467
77,0.1,0.55,141316.1614006329
78,0.1,0.57,141795.3421694973
79,0.1,0.59,142280.02653004974
80,0.1,0.61,142770.1395999057
81,0.1,0.63,143265.31666479443
82,0.1,0.66,144017.65891456453
83,0.1,0.68,144525.37379886716
84,0.1,0.7,145037.75315413432
85,0.1,0.72,145554.8008101385
86,0.1,0.74,146076.45545514688
87,0.1,0.76,146602.57141042282
88,0.1,0.78,147133.09022088975
89,0.1,0.8,147667.95208434644
90,0.1,0.2,134753.90510236207
91,0.1,0.22,134871.4754951975
92,0.1,0.24,135081.82954099445
93,0.1,0.26,135347.00686194882
94,0.1,0.28,135651.31460726706
95,0.1,0.3,135985.33832878515
96,0.1,0.32,136342.67592908134
97,0.1,0.34,136718.81939382234
98,0.1,0.37,137311.47849530305
99,0.1,0.39,137722.1740647733
100,0.1,0.41,138143.45227141422
101,0.1,0.43,138574.1101826005
102,0.1,0.45,139013.30900742882
103,0.1,0.47,139460.3469095904
104,0.1,0.49,139914.54072369813
105,0.1,0.51,140375.4660197697
106,0.1,0.53,140842.83417221467
107,0.1,0.55,141316.1614006329
108,0.1,0.57,141795.3421694973
109,0.1,0.59,142280.02653004974
110,0.1,0.61,142770.1395999057
111,0.1,0.63,143265.31666479443
112,0.1,0.66,144017.65891456453
113,0.1,0.68,144525.37379886716
114,0.1,0.7,145037.75315413432
115,0.1,0.72,145554.8008101385
116,0.1,0.74,146076.45545514688
117,0.1,0.76,146602.57141042282
118,0.1,0.78,147133.09022088975
119,0.1,0.8,147667.95208434644
120,0.11,0.2,135083.54362259762
121,0.11,0.22,135085.74226856386
122,0.11,0.24,135219.77454627366
123,0.11,0.26,135439.30580498173
124,0.11,0.28,135712.64802610115
125,0.11,0.3,136024.90099420887
126,0.11,0.32,136366.71873827235
127,0.11,0.34,136731.6984739498
128,0.11,0.37,137313.28794152747
129,0.11,0.39,137719.26525241896
130,0.11,0.41,138137.32012251447
131,0.11,0.43,138565.94733850265
132,0.11,0.45,139004.16435550968
133,0.11,0.47,139450.8503621362
134,0.11,0.49,139905.33575706705
135,0.11,0.51,140367.19223828265
136,0.11,0.53,140835.71629180913
137,0.11,0.55,141310.79192008247
138,0.11,0.57,141791.82548064407
139,0.11,0.59,142278.86013982954
140,0.11,0.61,142771.40791534743
141,0.11,0.63,143269.4587404619
142,0.11,0.66,144026.25621486024
143,0.11,0.68,144537.1253307401
144,0.11,0.7,145052.91797181245
145,0.11,0.72,145573.4658858262
146,0.11,0.74,146098.77010971852
147,0.11,0.76,146628.71223743068
