,R,L,cost
0,0.08,0.2,117444.6774915937
1,0.08,0.22,117736.00489264067
2,0.08,0.24,118050.65004180431
3,0.08,0.26,118384.62806173797
4,0.08,0.28,118735.20519229403
5,0.08,0.3,119100.30099297798
6,0.08,0.32,119478.42174673088
7,0.08,0.34,119868.04021410248
8,0.08,0.37,120471.54959996285
9,0.08,0.39,120885.2944902508
10,0.08,0.41,121307.4464840056
11,0.08,0.43,121737.33589071341
12,0.08,0.45,122174.37978902074
13,0.08,0.47,122618.2274260711
14,0.08,0.49,123068.65050435271
15,0.08,0.51,123525.13053698835
16,0.08,0.53,123987.57368094243
17,0.08,0.55,124455.69127917799
18,0.08,0.57,124929.30682635421
19,0.08,0.59,125408.24522735452
20,0.08,0.61,125892.38947375717
21,0.08,0.63,126381.57752908357
22,0.08,0.66,127124.57720529479
23,0.08,0.68,127625.88213007976
24,0.08,0.7,128131.81485456611
25,0.08,0.72,128642.45715143975
26,0.08,0.74,129157.56871449448
27,0.08,0.76,129677.09295077722
28,0.08,0.78,130200.97190440407
29,0.08,0.8,130729.21772997158
30,0.09,0.2,117527.13800383112
31,0.09,0.22,117794.69719525617
32,0.09,0.24,118091.8310434636
33,0.09,0.26,118412.5799210528
34,0.09,0.28,118753.1038016646
35,0.09,0.3,119110.60420585226
36,0.09,0.32,119482.9565853791
37,0.09,0.34,119868.55674317606
38,0.09,0.37,120468.28958540969
39,0.09,0.39,120880.70679923124
40,0.09,0.41,121302.41220696934
41,0.09,0.43,121732.38638141706
42,0.09,0.45,122170.00642490505
43,0.09,0.47,122615.10732114634
44,0.09,0.49,123066.95009203738
45,0.09,0.51,123525.31674096533
46,0.09,0.53,123989.89637990044
47,0.09,0.55,124460.40555157454
48,0.09,0.57,124936.62020070374
49,0.09,0.59,125418.45572471926
50,0.09,0.61,125905.53386923205
51,0.09,0.63,126397.9845783395
52,0.09,0.66,127146.0412592277
53,0.09,0.68,127650.88043038132
54,0.09,0.7,128160.4816786598
55,0.09,0.72,128674.9175934465
56,0.09,0.74,129193.97323703913
57,0.09,0.76,129717.54886507134
58,0.09,0.78,130245.57866064236
59,0.09,0.8,130777.99573248484
60,0.1,0.2,117642.29228377907
61,0.1,0.22,117880.329633157
62,0.1,0.24,118155.30289918235
63,0.1,0.26,118459.39988579719
64,0.1,0.28,118787.29405051458
65,0.1,0.3,119135.16063276456
66,0.1,0.32,119500.17052942872
67,0.1,0.34,119880.3848840902
68,0.1,0.37,120474.83601210603
69,0.1,0.39,120885.21909171168
70,0.1,0.41,121305.74741540525
71,0.1,0.43,121735.24931794836
72,0.1,0.45,122173.27167091463
73,0.1,0.47,122619.0169874983
74,0.1,0.49,123072.08569199797
75,0.1,0.51,123532.0837234155
76,0.1,0.53,123998.58889867744
77,0.1,0.55,124471.33397953447
78,0.1,0.57,124950.12292015573
79,0.1,0.59,125434.56289885087
80,0.1,0.61,125924.69921738321
81,0.1,0.63,126420.24227935173
82,0.1,0.66,127173.32481380984
83,0.1,0.68,127681.69808831149
84,0.1,0.7,128195.04273183882
85,0.1,0.72,128713.24701577681
86,0.1,0.74,129236.24593885713
87,0.1,0.76,129763.88715935573
88,0.1,0.78,130296.09711289177
89,0.1,0.8,130832.80140819351
90,0.1,0.2,117642.29228377907
91,0.1,0.22,117880.329633157
92,0.1,0.24,118155.30289918235
93,0.1,0.26,118459.39988579719
94,0.1,0.28,118787.29405051458
95,0.1,0.3,119135.16063276456
96,0.1,0.32,119500.17052942872
97,0.1,0.34,119880.3848840902
98,0.1,0.37,120474.83601210603
99,0.1,0.39,120885.21909171168
100,0.1,0.41,121305.74741540525
101,0.1,0.43,121735.24931794836
102,0.1,0.45,122173.27167091463
103,0.1,0.47,122619.0169874983
104,0.1,0.49,123072.08569199797
105,0.1,0.51,123532.0837234155
106,0.1,0.53,123998.58889867744
