,R,L,cost
0,0.08,0.2,151573.62119670457
1,0.08,0.22,151686.11765421397
2,0.08,0.24,151939.673135544
3,0.08,0.26,152244.66970124043
4,0.08,0.28,152582.50532905202
5,0.08,0.3,152943.55037185352
6,0.08,0.32,153322.2257768542
7,0.08,0.34,153714.9683139451
8,0.08,0.37,154325.62330285317
9,0.08,0.39,154744.68017221108
10,0.08,0.41,155171.98782303734
11,0.08,0.43,155606.79570017106
12,0.08,0.45,156048.4482792715
13,0.08,0.47,156496.4905826047
14,0.08,0.49,156950.5090573379
15,0.08,0.51,157410.16515776314
16,0.08,0.53,157875.2452592535
17,0.08,0.55,158345.464155019
18,0.08,0.57,158820.78418905378
19,0.08,0.59,159300.8882111769
20,0.08,0.61,159785.68185681885
21,0.08,0.63,160275.025370056
22,0.08,0.66,161017.51871723033
23,0.08,0.68,161517.89409324713
24,0.08,0.7,162022.60411729812
25,0.08,0.72,162531.4960487726
26,0.08,0.74,163044.53234353836
27,0.08,0.76,163586.99559850778
28,0.08,0.78,164157.51213384463
29,0.08,0.8,164748.67813503536
30,0.09,0.2,151947.02441458486
31,0.09,0.22,151940.59426423037
32,0.09,0.24,152022.05515033228
33,0.09,0.26,152275.89671132292
34,0.09,0.28,152585.09726363464
35,0.09,0.3,152928.11353835944
36,0.09,0.32,153294.8616180418
37,0.09,0.34,153679.62313043288
38,0.09,0.37,154282.68278717794
39,0.09,0.39,154698.72993212423
40,0.09,0.41,155124.24225871122
41,0.09,0.43,155558.13295952464
42,0.09,0.45,155999.57505607256
43,0.09,0.47,156447.98843388993
44,0.09,0.49,156902.82535679467
45,0.09,0.51,157363.71947633923
46,0.09,0.53,157830.41680949967
47,0.09,0.55,158302.55542189468
48,0.09,0.57,158779.96242834366
49,0.09,0.59,159262.3285472851
50,0.09,0.61,159749.70430732687
51,0.09,0.63,160241.8064016923
52,0.09,0.66,160988.59737598558
53,0.09,0.68,161492.12144772577
54,0.09,0.7,161999.9805848873
55,0.09,0.72,162512.2425943057
56,0.09,0.74,163028.7114174056
57,0.09,0.76,163564.0589929975
58,0.09,0.78,164131.17137264076
59,0.09,0.8,164719.50440290346
60,0.1,0.2,152320.42714083963
61,0.1,0.22,152313.9753688586
62,0.1,0.24,152307.4946212286
63,0.1,0.26,152366.11982450754
64,0.1,0.28,152623.8664558466
65,0.1,0.3,152939.13047914143
66,0.1,0.32,153288.431758255
67,0.1,0.34,153661.4743578765
68,0.1,0.37,154253.52637180276
69,0.1,0.39,154665.05042819268
70,0.1,0.41,155087.57235962054
71,0.1,0.43,155519.6267091362
72,0.1,0.45,155960.14040501902
73,0.1,0.47,156408.28839858857
74,0.1,0.49,156863.51979851088
75,0.1,0.51,157325.33402344797
76,0.1,0.53,157793.2558220346
77,0.1,0.55,158266.93959563941
78,0.1,0.57,158746.15869237616
79,0.1,0.59,159230.77007915732
80,0.1,0.61,159720.4527554733
81,0.1,0.63,160215.11503197567
82,0.1,0.66,160966.1045488207
83,0.1,0.68,161472.684893489
84,0.1,0.7,161983.68131776535
85,0.1,0.72,162499.26205549305
86,0.1,0.74,163019.14565830692
87,0.1,0.76,163549.88107985977
88,0.1,0.78,164113.43219034257
89,0.1,0.8,164699.0248969987
90,0.1,0.2,152320.42714083963
91,0.1,0.22,152313.9753688586
92,0.1,0.24,152307.4946212286
93,0.1,0.26,152366.11982450754
94,0.1,0.28,152623.8664558466
95,0.1,0.3,152939.13047914143
96,0.1,0.32,153288.431758255
97,0.1,0.34,153661.4743578765
98,0.1,0.37,154253.52637180276
99,0.1,0.39,154665.05042819268
100,0.1,0.41,155087.57235962054
101,0.1,0.43,155519.6267091362
102,0.1,0.45,155960.14040501902
103,0.1,0.47,156408.28839858857
104,0.1,0.49,156863.51979851088
105,0.1,0.51,157325.33402344797
106,0.1,0.53,157793.2558220346
107,0.1,0.55,158266.93959563941
108,0.1,0.57,158746.15869237616
109,0.1,0.59,159230.77007915732
110,0.1,0.61,159720.4527554733
111,0.1,0.63,160215.11503197567
112,0.1,0.66,160966.1045488207
113,0.1,0.68,161472.684893489
114,0.1,0.7,161983.68131776535
115,0.1,0.72,162499.26205549305
116,0.1,0.74,163019.14565830692
117,0.1,0.76,163549.88107985977
118,0.1,0.78,164113.43219034257
119,0.1,0.8,164699.0248969987
120,0.11,0.2,152693.8295025246
