,R,L,cost
0,0.08,0.2,103588.42591530674
1,0.08,0.22,104194.84973161822
2,0.08,0.24,104814.60102539528
3,0.08,0.26,105447.25396683058
4,0.08,0.28,106093.34314119059
5,0.08,0.3,106752.71823429766
6,0.08,0.32,107425.64681993611
7,0.08,0.34,108113.05237855727
8,0.08,0.37,109171.12311801282
9,0.08,0.39,109894.29497303114
10,0.08,0.41,110632.05174554956
11,0.08,0.43,111386.39835865883
12,0.08,0.45,112155.10543026256
13,0.08,0.47,112940.43608036984
14,0.08,0.49,113740.6633703622
15,0.08,0.51,114557.92827581787
16,0.08,0.53,115392.17724692127
17,0.08,0.55,116242.8201276298
18,0.08,0.57,117110.1605930833
19,0.08,0.59,117995.24751386039
20,0.08,0.61,118897.99613738093
21,0.08,0.63,119817.39203612186
22,0.08,0.66,121230.80803047825
23,0.08,0.68,122196.57194045659
24,0.08,0.7,123179.2579400732
25,0.08,0.72,124180.61637545281
26,0.08,0.74,125200.35062103532
27,0.08,0.76,126238.58761654326
28,0.08,0.78,127295.34841332118
29,0.08,0.8,128369.28670793021
30,0.09,0.2,104044.22312152061
31,0.09,0.22,104652.318168079
32,0.09,0.24,105274.32560050712
33,0.09,0.26,105909.6590383889
34,0.09,0.28,106558.64982635326
35,0.09,0.3,107221.27184149847
36,0.09,0.32,107897.52418370511
37,0.09,0.34,108588.96225445703
38,0.09,0.37,109652.27167496017
39,0.09,0.39,110379.22812534723
40,0.09,0.41,111121.39017668071
41,0.09,0.43,111879.76844525282
42,0.09,0.45,112652.50127790746
43,0.09,0.47,113442.11940653005
44,0.09,0.49,114246.61492252993
45,0.09,0.51,115068.38138382956
46,0.09,0.53,115906.9888907933
47,0.09,0.55,116761.89943308114
48,0.09,0.57,117633.4852471946
49,0.09,0.59,118523.4651426591
50,0.09,0.61,119430.68190567452
51,0.09,0.63,120354.61389683002
52,0.09,0.66,121775.17067919922
53,0.09,0.68,122745.4062004027
54,0.09,0.7,123732.67329118153
55,0.09,0.72,124739.00901071222
56,0.09,0.74,125763.09636570771
57,0.09,0.76,126806.3761093157
58,0.09,0.78,127867.49721698347
59,0.09,0.8,128946.14389745091
60,0.1,0.2,104504.0959710111
61,0.1,0.22,105113.79158950696
62,0.1,0.24,105737.90923231114
63,0.1,0.26,106375.72582335302
64,0.1,0.28,107027.58839001495
65,0.1,0.3,107693.31457075
66,0.1,0.32,108373.27422744082
67,0.1,0.34,109068.19330491364
68,0.1,0.37,110137.09845734447
69,0.1,0.39,110868.01994596356
70,0.1,0.41,111614.45123691375
71,0.1,0.43,112376.80688490078
72,0.1,0.45,113153.80765280325
73,0.1,0.47,113947.64365150491
74,0.1,0.49,114756.33986672871
75,0.1,0.51,115582.8840217799
76,0.1,0.53,116425.878079829
77,0.1,0.55,117285.19735309487
78,0.1,0.57,118161.72831593697
79,0.1,0.59,119056.31409794059
80,0.1,0.61,119968.05466556655
81,0.1,0.63,120896.90136261625
82,0.1,0.66,122324.76520471569
83,0.1,0.68,123299.50611459816
84,0.1,0.7,124291.78310991288
85,0.1,0.72,125302.97321288487
86,0.1,0.74,126331.95582482984
87,0.1,0.76,127380.13399166854
88,0.1,0.78,128445.8937215106
89,0.1,0.8,129529.1060892119
90,0.1,0.2,104504.0959710111
91,0.1,0.22,105113.79158950696
92,0.1,0.24,105737.90923231114
93,0.1,0.26,106375.72582335302
94,0.1,0.28,107027.58839001495
95,0.1,0.3,107693.31457075
96,0.1,0.32,108373.27422744082
97,0.1,0.34,109068.19330491364
98,0.1,0.37,110137.09845734447
99,0.1,0.39,110868.01994596356
100,0.1,0.41,111614.45123691375
101,0.1,0.43,112376.80688490078
102,0.1,0.45,113153.80765280325
103,0.1,0.47,113947.64365150491
104,0.1,0.49,114756.33986672871
105,0.1,0.51,115582.8840217799
106,0.1,0.53,116425.878079829
107,0.1,0.55,117285.19735309487
108,0.1,0.57,118161.72831593697
109,0.1,0.59,119056.31409794059
110,0.1,0.61,119968.05466556655
111,0.1,0.63,120896.90136261625
112,0.1,0.66,122324.76520471569
113,0.1,0.68,123299.50611459816
114,0.1,0.7,124291.78310991288
115,0.1,0.72,125302.97321288487
116,0.1,0.74,126331.95582482984
117,0.1,0.76,127380.13399166854
118,0.1,0.78,128445.8937215106
119,0.1,0.8,129529.1060892119
120,0.11,0.2,104963.94211640276
121,0.11,0.22,105577.52311255065
122,0.11,0.24,106204.77058971045
123,0.11,0.26,106845.60984512778
124,0.11,0.28,107500.13290516222
125,0.11,0.3,108169.07109652151
126,0.11,0.32,108852.61995816448
127,0.11,0.34,109551.07477139508
128,0.11,0.37,110625.42206781458
129,0.11,0.39,111360.43560015976
130,0.11,0.41,112110.93369748276
131,0.11,0.43,112877.60420253778
132,0.11,0.45,113658.86228310489
133,0.11,0.47,114456.96862748844
134,0.11,0.49,115270.3386800586
135,0.11,0.51,116101.53499076616
