,R,L,cost
299,0.15,0.8,238955.53738455262
300,0.16,0.2,174033.11860169118
301,0.16,0.22,174038.37813502495
302,0.16,0.24,174175.27966444314
303,0.16,0.26,174388.97375183317
304,0.16,0.28,174652.44640396207
305,0.16,0.3,174953.91484528486
306,0.16,0.32,175306.32211368368
307,0.16,0.34,175751.6658639386
308,0.16,0.37,176532.83682523703
309,0.16,0.39,177142.4270799705
310,0.16,0.41,177815.91927830782
311,0.16,0.43,178550.5279955293
312,0.16,0.45,179342.55316588923
313,0.16,0.47,180189.04384070702
314,0.16,0.49,181087.85555302908
315,0.16,0.51,182034.05979666725
316,0.16,0.53,183021.35512631384
317,0.16,0.55,184045.53587921322
318,0.16,0.57,185127.90950941798
319,0.16,0.59,186523.89010459348
320,0.16,0.61,188561.21959206843
321,0.16,0.63,191200.64535185118
322,0.16,0.66,196747.4967218519
323,0.16,0.68,201200.81922564225
324,0.16,0.7,206072.83658671813
325,0.16,0.72,211230.7312313216
326,0.16,0.74,216455.00976315947
327,0.16,0.76,221618.04159673353
328,0.16,0.78,226696.68065370806
329,0.16,0.8,231825.85107337378
330,0.17,0.2,174449.9360245475
331,0.17,0.22,174444.29946798607
332,0.17,0.24,174479.5606240707
333,0.17,0.26,174642.6608691013
334,0.17,0.28,174870.81156027725
335,0.17,0.3,175144.24098675567
336,0.17,0.32,175453.18236741755
337,0.17,0.34,175822.95944780175
338,0.17,0.37,176528.26801028076
339,0.17,0.39,177073.9938573183
340,0.17,0.41,177689.42982477284
341,0.17,0.43,178368.0801734049
342,0.17,0.45,179105.99746364125
343,0.17,0.47,179900.15871104973
344,0.17,0.49,180746.3032645425
345,0.17,0.51,181639.0668820539
346,0.17,0.53,182573.48698146825
347,0.17,0.55,183546.56592081228
348,0.17,0.57,184589.15260498432
349,0.17,0.59,185727.3544637442
350,0.17,0.61,187215.11952590413
351,0.17,0.63,189366.69945926257
352,0.17,0.66,193776.4057270521
353,0.17,0.68,197615.1771621979
354,0.17,0.7,201909.24891409746
355,0.17,0.72,206519.47719893826
