,R,L,cost
0,0.08,0.2,126026.12236932092
1,0.08,0.22,127040.066982901
2,0.08,0.24,128179.62733344003
3,0.08,0.26,129424.23084935399
4,0.08,0.28,130708.24692690838
5,0.08,0.3,131916.87775576342
6,0.08,0.32,132889.7242611734
7,0.08,0.34,133765.58745257786
8,0.08,0.37,135108.52709179526
9,0.08,0.39,136022.42158895053
10,0.08,0.41,136951.17393104237
11,0.08,0.43,137894.6764190056
12,0.08,0.45,138875.6622990127
13,0.08,0.47,139937.44327643208
14,0.08,0.49,141050.3831021154
15,0.08,0.51,142206.4034981625
16,0.08,0.53,143399.08372773355
17,0.08,0.55,144626.22269821746
18,0.08,0.57,145885.6141233116
19,0.08,0.59,147176.9023000755
20,0.08,0.61,148497.69255622482
21,0.08,0.63,149847.73062428605
22,0.08,0.66,151924.5194337341
23,0.08,0.68,153343.44529410056
24,0.08,0.7,154790.35023315114
25,0.08,0.72,156263.27530457475
26,0.08,0.74,157762.6841625068
27,0.08,0.76,159289.72368908915
28,0.08,0.78,160841.71860635697
29,0.08,0.8,162421.42374703602
30,0.09,0.2,126265.93981125102
31,0.09,0.22,127277.7716202499
32,0.09,0.24,128410.12144466268
33,0.09,0.26,129647.42029601819
34,0.09,0.28,130927.66897106786
35,0.09,0.3,132142.9178119527
36,0.09,0.32,133132.96103625454
37,0.09,0.34,134012.94367130465
38,0.09,0.37,135361.7143337209
39,0.09,0.39,136280.06389086824
40,0.09,0.41,137212.8973344974
41,0.09,0.43,138161.3184049285
42,0.09,0.45,139125.6655213455
43,0.09,0.47,140120.7822971067
44,0.09,0.49,141198.58313237858
45,0.09,0.51,142330.25080961097
46,0.09,0.53,143504.02351128112
47,0.09,0.55,144716.07543850795
48,0.09,0.57,145963.7231780818
49,0.09,0.59,147244.26481387802
50,0.09,0.61,148555.11493319712
51,0.09,0.63,149897.16575581543
52,0.09,0.66,151964.70994554323
53,0.09,0.68,153378.49715576787
54,0.09,0.7,154820.14386948588
55,0.09,0.72,156289.19476308988
56,0.09,0.74,157785.7270068539
57,0.09,0.76,159308.91437234136
58,0.09,0.78,160859.23151272678
59,0.09,0.8,162436.2684457985
60,0.1,0.2,126524.78095245274
61,0.1,0.22,127519.56446132524
62,0.1,0.24,128644.77030690727
63,0.1,0.26,129872.83018707698
64,0.1,0.28,131148.93641771938
65,0.1,0.3,132370.65559892886
66,0.1,0.32,133380.33864750894
67,0.1,0.34,134265.17921965473
68,0.1,0.37,135620.40573936046
69,0.1,0.39,136542.98718056947
70,0.1,0.41,137480.26596716276
71,0.1,0.43,138433.73654204025
72,0.1,0.45,139402.76206999022
73,0.1,0.47,140386.35493295628
74,0.1,0.49,141398.62972372214
75,0.1,0.51,142494.9645684439
76,0.1,0.53,143645.0551270996
77,0.1,0.55,144838.8634434696
78,0.1,0.57,146071.60139050928
79,0.1,0.59,147339.081949481
80,0.1,0.61,148639.84053832298
81,0.1,0.63,149972.98471528073
82,0.1,0.66,152029.92557326177
83,0.1,0.68,153437.55067646876
84,0.1,0.7,154874.41808518616
85,0.1,0.72,156339.51700736172
86,0.1,0.74,157831.94029531
87,0.1,0.76,159352.53927293402
88,0.1,0.78,160900.23432110995
89,0.1,0.8,162474.94433027745
90,0.1,0.2,126524.78095245274
91,0.1,0.22,127519.56446132524
92,0.1,0.24,128644.77030690727
93,0.1,0.26,129872.83018707698
94,0.1,0.28,131148.93641771938
95,0.1,0.3,132370.65559892886
96,0.1,0.32,133380.33864750894
97,0.1,0.34,134265.17921965473
98,0.1,0.37,135620.40573936046
99,0.1,0.39,136542.98718056947
100,0.1,0.41,137480.26596716276
101,0.1,0.43,138433.73654204025
102,0.1,0.45,139402.76206999022
103,0.1,0.47,140386.35493295628
104,0.1,0.49,141398.62972372214
105,0.1,0.51,142494.9645684439
106,0.1,0.53,143645.0551270996
107,0.1,0.55,144838.8634434696
108,0.1,0.57,146071.60139050928
109,0.1,0.59,147339.081949481
110,0.1,0.61,148639.84053832298
111,0.1,0.63,149972.98471528073
112,0.1,0.66,152029.92557326177
113,0.1,0.68,153437.55067646876
114,0.1,0.7,154874.41808518616
115,0.1,0.72,156339.51700736172
116,0.1,0.74,157831.94029531
117,0.1,0.76,159352.53927293402
118,0.1,0.78,160900.23432110995
119,0.1,0.8,162474.94433027745
120,0.11,0.2,126825.69213645344
121,0.11,0.22,127768.94347065571
122,0.11,0.24,128884.42325664364
123,0.11,0.26,130101.69662198126
124,0.11,0.28,131372.78936838225
