,R,L,cost
0,0.08,0.2,97096.23318475073
1,0.08,0.22,97511.73515927026
2,0.08,0.24,97943.35849552274
3,0.08,0.26,98388.1473580874
4,0.08,0.28,98846.5643097036
5,0.08,0.3,99320.72383337656
6,0.08,0.32,99809.05259852365
7,0.08,0.34,100311.2696427182
8,0.08,0.37,101094.1542260326
9,0.08,0.39,101635.42572496964
10,0.08,0.41,102193.90309075157
11,0.08,0.43,102768.94612633402
12,0.08,0.45,103361.199608017
13,0.08,0.47,103971.4950997202
14,0.08,0.49,104600.61404884128
15,0.08,0.51,105248.68960424318
16,0.08,0.53,105915.91896620719
17,0.08,0.55,106603.21593275311
18,0.08,0.57,107310.67773249633
19,0.08,0.59,108039.03864428833
20,0.08,0.61,108788.46423234751
21,0.08,0.63,109559.73350605057
22,0.08,0.66,110757.38797161306
23,0.08,0.68,111582.75261438382
24,0.08,0.7,112430.60121387734
25,0.08,0.72,113300.87570295251
26,0.08,0.74,114193.50106450621
27,0.08,0.76,115108.75333291382
28,0.08,0.78,116047.02188354291
29,0.08,0.8,117008.44633822946
30,0.09,0.2,97629.84601201017
31,0.09,0.22,98045.91396428178
32,0.09,0.24,98478.79375502917
33,0.09,0.26,98925.63006211107
34,0.09,0.28,99386.55827084248
35,0.09,0.3,99863.75451329099
36,0.09,0.32,100355.32452919599
37,0.09,0.34,100861.31096376589
38,0.09,0.37,101649.92084048568
39,0.09,0.39,102195.23224262965
40,0.09,0.41,102757.83675114464
41,0.09,0.43,103336.91926806518
42,0.09,0.45,103933.50224687005
43,0.09,0.47,104548.10572568767
44,0.09,0.49,105181.42656243966
45,0.09,0.51,105833.6130497067
46,0.09,0.53,106504.90076056492
47,0.09,0.55,107196.23082220927
48,0.09,0.57,107907.5499792767
49,0.09,0.59,108639.73641738106
50,0.09,0.61,109392.74512997597
51,0.09,0.63,110167.4721534643
52,0.09,0.66,111370.09319411672
53,0.09,0.68,112198.6222304777
54,0.09,0.7,113049.41841733688
55,0.09,0.72,113922.62302249747
56,0.09,0.74,114818.08974713949
57,0.09,0.76,115736.06460686092
58,0.09,0.78,116676.80877390488
59,0.09,0.8,117640.4284660637
60,0.1,0.2,98170.89947374255
61,0.1,0.22,98586.62840923588
62,0.1,0.24,99020.22122913017
63,0.1,0.26,99468.59371136375
64,0.1,0.28,99931.88974202845
65,0.1,0.3,100411.69796735459
66,0.1,0.32,100906.39428384922
67,0.1,0.34,101415.73767846132
68,0.1,0.37,102209.90051953738
69,0.1,0.39,102759.15589146168
70,0.1,0.41,103325.8706898733
71,0.1,0.43,103909.21105911834
72,0.1,0.45,104510.04610931291
73,0.1,0.47,105128.78078970898
74,0.1,0.49,105766.23401828247
