,R,L,cost
0,0.08,0.2,101474.65127510838
1,0.08,0.22,101643.45662526134
2,0.08,0.24,101833.33644278225
3,0.08,0.26,102044.03838798439
4,0.08,0.28,102277.11791915179
5,0.08,0.3,102534.73849510017
6,0.08,0.32,102821.2705801537
7,0.08,0.34,103143.8983736682
8,0.08,0.37,103711.37027867716
9,0.08,0.39,104123.45173972746
10,0.08,0.41,104543.38019208249
11,0.08,0.43,104970.94336606767
12,0.08,0.45,105405.70800325445
13,0.08,0.47,105847.29392128448
14,0.08,0.49,106295.51750543433
15,0.08,0.51,106750.00718499406
16,0.08,0.53,107210.6329681457
17,0.08,0.55,107677.14247569918
18,0.08,0.57,108149.31602908803
19,0.08,0.59,108627.16121058956
20,0.08,0.61,109110.28991866922
21,0.08,0.63,109598.68687601626
22,0.08,0.66,110340.93887845028
23,0.08,0.68,110842.1002535027
24,0.08,0.7,111348.10882268114
25,0.08,0.72,111858.8787638264
26,0.08,0.74,112374.34073046426
27,0.08,0.76,112894.42404359856
28,0.08,0.78,113422.16594539546
29,0.08,0.8,114183.17752650601
30,0.09,0.2,101774.8569902974
31,0.09,0.22,101919.68418580254
32,0.09,0.24,102087.07938250518
33,0.09,0.26,102274.88705066493
34,0.09,0.28,102483.14919604406
35,0.09,0.3,102713.03576500872
36,0.09,0.32,102966.80151928362
37,0.09,0.34,103249.52410333259
38,0.09,0.37,103744.89095280711
39,0.09,0.39,104138.6151027274
40,0.09,0.41,104558.80338239625
41,0.09,0.43,104987.29640686917
42,0.09,0.45,105423.19016998321
43,0.09,0.47,105866.51870556874
44,0.09,0.49,106316.62790033781
45,0.09,0.51,106773.41822527534
46,0.09,0.53,107236.55400250753
47,0.09,0.55,107705.70087394501
48,0.09,0.57,108180.94583172144
49,0.09,0.59,108661.83588612759
50,0.09,0.61,109148.24110968085
51,0.09,0.63,109640.18087681927
52,0.09,0.66,110387.90402671129
53,0.09,0.68,110892.82452364764
54,0.09,0.7,111402.74381214705
55,0.09,0.72,111917.61929646519
56,0.09,0.74,112437.28677172445
57,0.09,0.76,112961.66869845953
58,0.09,0.78,113504.21421718689
59,0.09,0.8,114291.90620609281
60,0.1,0.2,102117.34255571115
61,0.1,0.22,102238.41010739992
62,0.1,0.24,102383.65749158549
63,0.1,0.26,102550.30756181233
64,0.1,0.28,102736.60568047423
65,0.1,0.3,102942.81902985214
66,0.1,0.32,103169.43268988276
67,0.1,0.34,103419.46200700502
68,0.1,0.37,103848.7968280996
69,0.1,0.39,104185.69733003198
70,0.1,0.41,104581.39973253215
71,0.1,0.43,105010.23822265271
72,0.1,0.45,105447.27188712632
73,0.1,0.47,105891.82555510655
74,0.1,0.49,106343.83638354714
75,0.1,0.51,106802.67965851685
76,0.1,0.53,107268.08909875725
77,0.1,0.55,107740.03563834199
78,0.1,0.57,108218.09045879071
79,0.1,0.59,108702.03212755878
80,0.1,0.61,109191.74030011351
81,0.1,0.63,109687.16461530532
82,0.1,0.66,110440.38291803977
83,0.1,0.68,110949.10012372628
84,0.1,0.7,111463.0228116042
85,0.1,0.72,111981.96662689192
86,0.1,0.74,112505.818374093
87,0.1,0.76,113034.50603657182
88,0.1,0.78,113602.33848834004
89,0.1,0.8,114415.80998906978
90,0.1,0.2,102117.34255571115
91,0.1,0.22,102238.41010739992
92,0.1,0.24,102383.65749158549
93,0.1,0.26,102550.30756181233
94,0.1,0.28,102736.60568047423
95,0.1,0.3,102942.81902985214
96,0.1,0.32,103169.43268988276
97,0.1,0.34,103419.46200700502
98,0.1,0.37,103848.7968280996
99,0.1,0.39,104185.69733003198
100,0.1,0.41,104581.39973253215
101,0.1,0.43,105010.23822265271
102,0.1,0.45,105447.27188712632
103,0.1,0.47,105891.82555510655
104,0.1,0.49,106343.83638354714
105,0.1,0.51,106802.67965851685
106,0.1,0.53,107268.08909875725
107,0.1,0.55,107740.03563834199
108,0.1,0.57,108218.09045879071
109,0.1,0.59,108702.03212755878
110,0.1,0.61,109191.74030011351
111,0.1,0.63,109687.16461530532
112,0.1,0.66,110440.38291803977
113,0.1,0.68,110949.10012372628
114,0.1,0.7,111463.0228116042
115,0.1,0.72,111981.96662689192
116,0.1,0.74,112505.818374093
117,0.1,0.76,113034.50603657182
118,0.1,0.78,113602.33848834004
119,0.1,0.8,114415.80998906978
120,0.11,0.2,102500.95984259222
121,0.11,0.22,102597.59974867814
122,0.11,0.24,102721.13759726392
123,0.11,0.26,102867.71340137432
124,0.11,0.28,103034.26669966948
125,0.11,0.3,103219.99131486037
126,0.11,0.32,103424.1201749553
127,0.11,0.34,103648.04178366209
128,0.11,0.37,104025.94641997796
129,0.11,0.39,104313.96467422605
130,0.11,0.41,104644.56357841945
131,0.11,0.43,105040.16962311846
132,0.11,0.45,105477.83633874876
133,0.11,0.47,105923.70488871427
134,0.11,0.49,106377.14735085292
135,0.11,0.51,106837.90864146326
136,0.11,0.53,107305.7236653676
137,0.11,0.55,107780.18922759504
138,0.11,0.57,108261.00624517938
139,0.11,0.59,108747.98993445
140,0.11,0.61,109240.9747289105
141,0.11,0.63,109739.8173036302
142,0.11,0.66,110498.55833517294
143,0.11,0.68,111011.20625615693
144,0.11,0.7,111529.11561742585
145,0.11,0.72,112052.18130392222
146,0.11,0.74,112580.36515279568
147,0.11,0.76,113113.47529506884
148,0.11,0.78,113717.98564687342
149,0.11,0.8,114556.68846803297
150,0.12,0.2,102924.37866275902
151,0.12,0.22,102995.67213832395
152,0.12,0.24,103097.64978476753
153,0.12,0.26,103224.70357627729
154,0.12,0.28,103373.08126294188
155,0.12,0.3,103540.73468993643
156,0.12,0.32,103726.04539918128
157,0.12,0.34,103929.02422772422
158,0.12,0.37,104267.89951975155
159,0.12,0.39,104520.46543947725
160,0.12,0.41,104801.0878579162
161,0.12,0.43,105122.86314874885
162,0.12,0.45,105515.3352582485
163,0.12,0.47,105961.98385449444
164,0.12,0.49,106416.90446778169
165,0.12,0.51,106879.50726230754
166,0.12,0.53,107349.40531141486
167,0.12,0.55,107826.2950524915
168,0.12,0.57,108309.84046886448
169,0.12,0.59,108799.8562418944
170,0.12,0.61,109296.07716344256
171,0.12,0.63,109798.31598328475
172,0.12,0.66,110562.60209659541
173,0.12,0.68,111079.15801773434
174,0.12,0.7,111601.07236979168
175,0.12,0.72,112128.38186702406
176,0.12,0.74,112660.83855280458
177,0.12,0.76,113198.41254125186
178,0.12,0.78,113853.22557601017
179,0.12,0.8,114716.31342019494
180,0.13,0.2,103385.47034243714
181,0.13,0.22,103430.99230769135
182,0.13,0.24,103511.1527835075
183,0.13,0.26,103619.06942562884
184,0.13,0.28,103750.26115819217
185,0.13,0.3,103901.64262410557
186,0.13,0.32,104070.84998219373
187,0.13,0.34,104256.7789001722
188,0.13,0.37,104565.98500825063
189,0.13,0.39,104793.32665100458
190,0.13,0.41,105040.18796734612
191,0.13,0.43,105312.2413697556
192,0.13,0.45,105622.53069703047
193,0.13,0.47,106007.26903670617
194,0.13,0.49,106463.26730043287
195,0.13,0.51,106927.46446086421
196,0.13,0.53,107399.35119966438
197,0.13,0.55,107878.58284944859
198,0.13,0.57,108364.83695442876
199,0.13,0.59,108857.78183159746
200,0.13,0.61,109357.23536667434
201,0.13,0.63,109862.9313287604
202,0.13,0.66,110632.67506138839
203,0.13,0.68,111153.13754438882
204,0.13,0.7,111679.23735313317
205,0.13,0.72,112210.81147207653
206,0.13,0.74,112747.65556742404
207,0.13,0.76,113290.02307919203
208,0.13,0.78,114010.54378038901
209,0.13,0.8,114896.64795754787
210,0.14,0.2,103882.01452104152
