,R,L,cost
0,0.08,0.2,113017.55547204545
1,0.08,0.22,113705.16236394596
2,0.08,0.24,114404.80691760224
3,0.08,0.26,115118.56685012602
4,0.08,0.28,115845.94011752201
5,0.08,0.3,116585.4200304849
6,0.08,0.32,117340.57956765001
7,0.08,0.34,118107.95064030685
8,0.08,0.37,119287.23618565584
9,0.08,0.39,120090.045545851
10,0.08,0.41,120907.6825606288
11,0.08,0.43,121739.05159627051
12,0.08,0.45,122585.74072798878
13,0.08,0.47,123446.02137774082
14,0.08,0.49,124321.91800258456
15,0.08,0.51,125212.54502326081
16,0.08,0.53,126117.57473547796
17,0.08,0.55,127038.77687805617
18,0.08,0.57,127975.27452650898
19,0.08,0.59,128926.66559826011
20,0.08,0.61,129894.22534558806
21,0.08,0.63,130878.05869193426
22,0.08,0.66,132383.76550453552
23,0.08,0.68,133407.81477282147
24,0.08,0.7,134448.4672652561
25,0.08,0.72,135505.87697548437
26,0.08,0.74,136579.93213851601
27,0.08,0.76,137671.26932583711
28,0.08,0.78,138780.05393243258
29,0.08,0.8,139906.00393352754
30,0.09,0.2,113369.68784330612
31,0.09,0.22,114060.40676602349
32,0.09,0.24,114763.0327308436
33,0.09,0.26,115480.34769058322
34,0.09,0.28,116211.15598778312
35,0.09,0.3,116954.63387178835
36,0.09,0.32,117712.82040393307
37,0.09,0.34,118484.04692528378
38,0.09,0.37,119668.78424675735
39,0.09,0.39,120475.28289683448
40,0.09,0.41,121296.78181995018
41,0.09,0.43,122131.88544803415
42,0.09,0.45,122982.95326879447
43,0.09,0.47,123847.4171941539
44,0.09,0.49,124727.15286784776
45,0.09,0.51,125622.08307371082
46,0.09,0.53,126531.70091264788
47,0.09,0.55,127456.79510041147
48,0.09,0.57,128397.55038874384
49,0.09,0.59,129354.02546709083
50,0.09,0.61,130325.71890416708
51,0.09,0.63,131313.88407978468
52,0.09,0.66,132826.19161454125
53,0.09,0.68,133854.96034419833
54,0.09,0.7,134900.25282203508
55,0.09,0.72,135962.18095027324
56,0.09,0.74,137040.93783722413
57,0.09,0.76,138136.8989271714
58,0.09,0.78,139250.02837553236
59,0.09,0.8,140380.69603882876
60,0.1,0.2,113724.46041184968
61,0.1,0.22,114418.06957923366
62,0.1,0.24,115123.85258730937
63,0.1,0.26,115845.44306124651
64,0.1,0.28,116579.37738911563
65,0.1,0.3,117326.68795881032
66,0.1,0.32,118088.50856799782
67,0.1,0.34,118863.58491727924
68,0.1,0.37,120054.1481638195
69,0.1,0.39,120863.97623028373
70,0.1,0.41,121689.93452941059
71,0.1,0.43,122529.28997836483
72,0.1,0.45,123384.27458363776
73,0.1,0.47,124253.55159626341
74,0.1,0.49,125136.93156868943
75,0.1,0.51,126036.62820144404
76,0.1,0.53,126950.97431064422
77,0.1,0.55,127880.11660330447
78,0.1,0.57,128825.83398543924
79,0.1,0.59,129786.82616525968
80,0.1,0.61,130763.82142578681
81,0.1,0.63,131756.13130908494
82,0.1,0.66,133275.1514363477
83,0.1,0.68,134308.96548721328
84,0.1,0.7,135359.03552399532
85,0.1,0.72,136425.80707396596
86,0.1,0.74,137509.54059102203
87,0.1,0.76,138610.0469568563
88,0.1,0.78,139728.334617317
89,0.1,0.8,140863.78514053157
90,0.1,0.2,113724.46041184968
91,0.1,0.22,114418.06957923366
92,0.1,0.24,115123.85258730937
93,0.1,0.26,115845.44306124651
94,0.1,0.28,116579.37738911563
95,0.1,0.3,117326.68795881032
96,0.1,0.32,118088.50856799782
97,0.1,0.34,118863.58491727924
98,0.1,0.37,120054.1481638195
99,0.1,0.39,120863.97623028373
100,0.1,0.41,121689.93452941059
101,0.1,0.43,122529.28997836483
102,0.1,0.45,123384.27458363776
