,R,L,cost
0,0.08,0.2,169152.2927469148
1,0.08,0.22,169145.4914957259
2,0.08,0.24,169138.66635689855
3,0.08,0.26,169318.5372242072
4,0.08,0.28,169649.1351780697
5,0.08,0.3,170009.9182566903
6,0.08,0.32,170390.51842151568
7,0.08,0.34,170786.21459475515
8,0.08,0.37,171401.31637228274
9,0.08,0.39,171823.18234998695
10,0.08,0.41,172253.22687542462
11,0.08,0.43,172690.4061288476
12,0.08,0.45,173134.09830699008
13,0.08,0.47,173583.8893563832
14,0.08,0.49,174039.36889259706
15,0.08,0.51,174500.26149104317
16,0.08,0.53,174966.2647591313
17,0.08,0.55,175437.1276102325
18,0.08,0.57,175912.70223299557
19,0.08,0.59,176392.8731857545
20,0.08,0.61,176877.4947585594
21,0.08,0.63,177366.47845858758
22,0.08,0.66,178108.37964026272
23,0.08,0.68,178631.50916918964
24,0.08,0.7,179177.08443175265
25,0.08,0.72,179740.95804237557
26,0.08,0.74,180321.57040134587
27,0.08,0.76,180918.24356451654
28,0.08,0.78,181530.51270082986
29,0.08,0.8,182158.02071995116
30,0.09,0.2,169568.5413163193
31,0.09,0.22,169561.72546435465
32,0.09,0.24,169554.8803249703
33,0.09,0.26,169548.00994865113
34,0.09,0.28,169646.57004232207
35,0.09,0.3,169981.0011569468
36,0.09,0.32,170346.3760833551
37,0.09,0.34,170732.14335724508
38,0.09,0.37,171338.13412663902
39,0.09,0.39,171756.5342796824
40,0.09,0.41,172184.25056192713
41,0.09,0.43,172620.15444929534
42,0.09,0.45,173063.35695894004
43,0.09,0.47,173513.2538746541
44,0.09,0.49,173969.30960303394
45,0.09,0.51,174431.15666186594
46,0.09,0.53,174898.48921852
47,0.09,0.55,175371.0178112868
48,0.09,0.57,175848.49020753658
49,0.09,0.59,176330.81677546763
50,0.09,0.61,176817.7445397389
51,0.09,0.63,177309.1382274656
52,0.09,0.66,178054.55228238675
53,0.09,0.68,178576.80059519398
54,0.09,0.7,179121.17310705394
55,0.09,0.72,179683.29328584534
56,0.09,0.74,180261.82161944854
57,0.09,0.76,180856.0164061201
58,0.09,0.78,181465.5723643826
59,0.09,0.8,182090.13538739723
60,0.1,0.2,169984.7940304885
61,0.1,0.22,169977.95861975953
62,0.1,0.24,169971.09782328046
63,0.1,0.26,169964.20553037626
64,0.1,0.28,169957.28659679607
65,0.1,0.3,170029.93146032264
66,0.1,0.32,170327.8087672499
67,0.1,0.34,170698.2644231178
68,0.1,0.37,171290.74020088752
69,0.1,0.39,171703.6209158382
70,0.1,0.41,172127.63293852253
71,0.1,0.43,172561.12738741352
72,0.1,0.45,173002.95814975665
73,0.1,0.47,173452.2673405781
74,0.1,0.49,173908.35056884642
75,0.1,0.51,174370.7553217625
76,0.1,0.53,174839.01071245837
77,0.1,0.55,175312.824972585
78,0.1,0.57,175791.920505665
79,0.1,0.59,176276.0344048168
80,0.1,0.61,176765.02810572195
81,0.1,0.63,177258.82820337373
82,0.1,0.66,178008.0320393962
83,0.1,0.68,178529.89393683002
84,0.1,0.7,179073.4878457614
85,0.1,0.72,179634.1524600894
86,0.1,0.74,180210.85076553357
87,0.1,0.76,180802.82566387113
88,0.1,0.78,181409.88379112107
89,0.1,0.8,182031.72304295405
90,0.1,0.2,169984.7940304885
91,0.1,0.22,169977.95861975953
92,0.1,0.24,169971.09782328046
93,0.1,0.26,169964.20553037626
94,0.1,0.28,169957.28659679607
95,0.1,0.3,170029.93146032264
96,0.1,0.32,170327.8087672499
97,0.1,0.34,170698.2644231178
98,0.1,0.37,171290.74020088752
