,R,L,cost
61,0.1,0.22,96843.79254569858
62,0.1,0.24,97072.08460048425
63,0.1,0.26,97314.44979348173
64,0.1,0.28,97571.556797397
65,0.1,0.3,97841.30945652399
66,0.1,0.32,98123.27230690206
67,0.1,0.34,98418.4923672893
68,0.1,0.37,98885.4742506374
69,0.1,0.39,99212.97050252244
70,0.1,0.41,99555.23864617139
71,0.1,0.43,99912.15549870061
72,0.1,0.45,100284.44177595733
73,0.1,0.47,100674.38088123422
74,0.1,0.49,101082.23541055081
75,0.1,0.51,101510.04813798824
76,0.1,0.53,101959.81066089368
77,0.1,0.55,102432.60504607155
78,0.1,0.57,102931.07576437686
79,0.1,0.59,103456.6151931667
80,0.1,0.61,104010.87783465181
81,0.1,0.63,104596.1896439488
82,0.1,0.66,105535.63739571637
83,0.1,0.68,106204.86484972485
84,0.1,0.7,106906.51059781652
85,0.1,0.72,107641.34962301746
86,0.1,0.74,108407.7108888411
87,0.1,0.76,109221.94511618307
88,0.1,0.78,110105.1458450118
89,0.1,0.8,111057.65618926405
90,0.1,0.2,96631.37387461415
91,0.1,0.22,96843.79254569858
92,0.1,0.24,97072.08460048425
93,0.1,0.26,97314.44979348173
94,0.1,0.28,97571.556797397
95,0.1,0.3,97841.30945652399
96,0.1,0.32,98123.27230690206
97,0.1,0.34,98418.4923672893
98,0.1,0.37,98885.4742506374
99,0.1,0.39,99212.97050252244
100,0.1,0.41,99555.23864617139
101,0.1,0.43,99912.15549870061
102,0.1,0.45,100284.44177595733
103,0.1,0.47,100674.38088123422
104,0.1,0.49,101082.23541055081
105,0.1,0.51,101510.04813798824
106,0.1,0.53,101959.81066089368
107,0.1,0.55,102432.60504607155
108,0.1,0.57,102931.07576437686
109,0.1,0.59,103456.6151931667
110,0.1,0.61,104010.87783465181
111,0.1,0.63,104596.1896439488
112,0.1,0.66,105535.63739571637
113,0.1,0.68,106204.86484972485
114,0.1,0.7,106906.51059781652
115,0.1,0.72,107641.34962301746
116,0.1,0.74,108407.7108888411
117,0.1,0.76,109221.94511618307
118,0.1,0.78,110105.1458450118
119,0.1,0.8,111057.65618926405
120,0.11,0.2,97208.17087043019
121,0.11,0.22,97416.36838812985
122,0.11,0.24,97642.78815113484
123,0.11,0.26,97885.31157959951
124,0.11,0.28,98143.91362445803
125,0.11,0.3,98416.46517570164
126,0.11,0.32,98702.2409631434
127,0.11,0.34,99002.05811908527
128,0.11,0.37,99477.41180678444
129,0.11,0.39,99811.37512022367
130,0.11,0.41,100160.63889431673
131,0.11,0.43,100524.7462727669
132,0.11,0.45,100904.58579518029
133,0.11,0.47,101302.49419802176
134,0.11,0.49,101718.34458212227
135,0.11,0.51,102154.01540152723
136,0.11,0.53,102611.44255995139
137,0.11,0.55,103091.49226173505
138,0.11,0.57,103596.75231164435
139,0.11,0.59,104128.37785134709
140,0.11,0.61,104687.83475357876
141,0.11,0.63,105277.27216400293
142,0.11,0.66,106219.0490297755
143,0.11,0.68,106889.55663656736
144,0.11,0.7,107593.31582483933
145,0.11,0.72,108329.56008520242
146,0.11,0.74,109096.7742297509
147,0.11,0.76,109903.17967491405
148,0.11,0.78,110769.81593088184
149,0.11,0.8,111701.37071938158
150,0.12,0.2,97798.98941393674
151,0.12,0.22,98001.59877545666
152,0.12,0.24,98225.11225976361
153,0.12,0.26,98466.89332940667
154,0.12,0.28,98726.2412477295
155,0.12,0.3,99000.92356156441
156,0.12,0.32,99289.96864437989
157,0.12,0.34,99593.77282718994
158,0.12,0.37,100076.98508566186
159,0.12,0.39,100416.76302675963
160,0.12,0.41,100772.58826446638
161,0.12,0.43,101143.71320839068
162,0.12,0.45,101530.93257796098
163,0.12,0.47,101936.3260774146
164,0.12,0.49,102359.8589016598
165,0.12,0.51,102803.13230451362
166,0.12,0.53,103268.02905183824
167,0.12,0.55,103755.37053701954
168,0.12,0.57,104267.31274326956
169,0.12,0.59,104805.04202123603
170,0.12,0.61,105369.90932116577
171,0.12,0.63,105963.84497033713
172,0.12,0.66,106910.27649108793
173,0.12,0.68,107580.34215422932
174,0.12,0.7,108284.18113172773
175,0.12,0.72,109022.05185667318
176,0.12,0.74,109790.39976510263
177,0.12,0.76,110594.66956815707
178,0.12,0.78,111449.80887999367
179,0.12,0.8,112364.11829526443
180,0.13,0.2,98403.49870928045
181,0.13,0.22,98599.42420331933
182,0.13,0.24,98819.06604987329
183,0.13,0.26,99059.1382437701
184,0.13,0.28,99318.51747701514
185,0.13,0.3,99594.67560058417
186,0.13,0.32,99886.40299256326
187,0.13,0.34,100193.90978089615
188,0.13,0.37,100684.0814270686
189,0.13,0.39,101029.51579138674
